model,feature_space,observations,rmse,mae,r2,skill_vs_training_global_mean,skill_vs_training_crop_mean,target_scale,result_scope,registered_primary_metric,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper,global_skill_ci_lower,global_skill_ci_upper,crop_skill_ci_lower,crop_skill_ci_upper,crop
training_crop_season_mean,baseline,249,3.2211136386677435,1.0319678190041526,0.18786300813711632,0.19484354595911302,0.016310898469599766,raw,overall,True,1.4992078928417292,5.084853791710079,0.7722359202186221,1.3793306089380442,0.048206053402939646,0.5605849543638156,-0.07771229782007248,0.15050981159239887,
ridge,pca,249,3.2345163675330815,1.2131521176869848,0.011842103037784324,0.18812925667733826,0.008107805570255255,crop_centered,overall,False,1.4986969974199806,5.087156112466915,0.8971910809694339,1.6056711619731086,0.052701325532302674,0.5297976344082658,-0.18434480914535187,0.11792226406710074,
training_crop_mean,baseline,249,3.2477090597047207,1.1403383500806492,0.17439667614556265,0.18149296074517485,0.0,raw,overall,True,1.4971449610193373,5.148260645061173,0.9158096997234767,1.5392136639538208,0.03718548202436231,0.5086427788204814,0.0,0.0,
dummy_mean,hybrid,249,3.254126137084348,1.1282250490366408,-0.00017594613270266457,0.1782552248618493,-0.003955660401250949,crop_centered,overall,False,1.5027343695504736,5.141505701444698,0.843706282925517,1.5203985290964803,0.038509756785090936,0.5284793390627807,-0.08457330906882113,0.05881584515846952,
dummy_mean,pca,249,3.254126137084348,1.1282250490366408,-0.00017594613270266457,0.1782552248618493,-0.003955660401250949,crop_centered,overall,False,1.5027343695504736,5.141505701444698,0.843706282925517,1.5203985290964803,0.038509756785090936,0.5284793390627807,-0.08457330906882113,0.05881584515846952,
dummy_mean,raw,249,3.254126137084348,1.1282250490366408,-0.00017594613270266457,0.1782552248618493,-0.003955660401250949,crop_centered,overall,False,1.5027343695504736,5.141505701444698,0.843706282925517,1.5203985290964803,0.038509756785090936,0.5284793390627807,-0.08457330906882113,0.05881584515846952,
ridge,raw,249,3.285663325672924,1.2725752163358832,-0.01965618965869731,0.16225025253892855,-0.023509520729064315,crop_centered,overall,False,1.5199610988824468,5.129080062483083,0.9313291242129098,1.6326486547555248,0.025877431121855785,0.5339717937760632,-0.35248491348128325,0.12296274219998352,
ridge,hybrid,249,3.3099798099938202,1.3099875553345857,-0.03480454813562606,0.14980435791561963,-0.0387151256003917,crop_centered,overall,False,1.5660548254987412,5.166428274989427,0.990573950070152,1.6622510121850658,0.013353595211341917,0.522420035894566,-0.36953548315193635,0.09639088786384552,
ridge,pca,249,3.338109282774994,1.413402196497363,0.12779554605245536,0.13529238001063904,-0.05644494001737255,raw,overall,True,1.6594948387511332,5.096657282430106,1.009775982776281,1.8768917639276708,0.016350672332845338,0.45271634915008274,-0.7618201144767017,0.05668072513428979,
ols,pca,249,3.379165275216748,1.475280977383577,-0.07851578753882205,0.11389119410351634,-0.08259155193485412,crop_centered,overall,False,1.6579796837093774,5.108714707078548,1.0734883318616366,2.0182393567293766,-0.1999483046208923,0.4925273582205814,-1.0972156596367104,0.06418237018539402,
ols,pca,249,3.379165275216749,1.475280977383578,0.10620881634585033,0.113891194103516,-0.08259155193485435,raw,overall,True,1.6579796837093785,5.108714707078548,1.073488331861637,2.018239356729378,-0.1999483046208932,0.49252735822058086,-1.0972156596367126,0.0641823701853938,
ridge,raw,249,3.4735148304435643,1.5990939849893735,0.05560100972907045,0.06371837531725766,-0.14388952052891324,raw,overall,True,1.8573854567875328,5.188419986712709,1.199239281225588,2.088174803132269,-0.298975325742415,0.38229421367580574,-1.5193449948996303,0.014092087395415414,
ridge,hybrid,249,3.474744295189324,1.6121500629469074,0.0549323436601864,0.06305545661468115,-0.14469943256483186,raw,overall,True,1.8425112454312607,5.265421197701656,1.2483288890728088,2.0795044161477176,-0.12342693704119687,0.35796744258835167,-1.0682386899694978,-0.01999899639086406,
training_global_mean,baseline,249,3.5897640786333307,1.7717166971890064,-0.008669790556808055,0.0,-0.221736591184857,raw,overall,True,2.048156123607805,5.339258504027764,1.491897347795533,2.2096784028513277,0.0,0.0,-1.0351793527479705,-0.03862187954139615,
dummy_mean,hybrid,249,3.592468235214337,1.7482872549824646,-0.010190017701844578,-0.0015071603802045974,-0.2235779441701371,raw,overall,True,2.023293420057938,5.356117499748697,1.457986365430301,2.18979530333118,-0.006833801732676386,0.023464408319304443,-1.0229738894357143,-0.04293083017359722,
dummy_mean,pca,249,3.592468235214337,1.7482872549824646,-0.010190017701844578,-0.0015071603802045974,-0.2235779441701371,raw,overall,True,2.023293420057938,5.356117499748697,1.457986365430301,2.18979530333118,-0.006833801732676386,0.023464408319304443,-1.0229738894357143,-0.04293083017359722,
dummy_mean,raw,249,3.592468235214337,1.7482872549824646,-0.010190017701844578,-0.0015071603802045974,-0.2235779441701371,raw,overall,True,2.023293420057938,5.356117499748697,1.457986365430301,2.18979530333118,-0.006833801732676386,0.023464408319304443,-1.0229738894357143,-0.04293083017359722,
ols,hybrid,249,3.6624358624101356,1.970272781928447,-0.26691563361213655,-0.04089816045574346,-0.2717033703257885,crop_centered,overall,False,2.051796350826063,5.48000702886569,1.4570857858369561,2.6471748965365194,-0.3860734539036596,0.22216357137590528,-1.9102842294357352,-0.04855012566878064,
ols,hybrid,249,3.662435862410138,1.9702727819284491,-0.04992252949786247,-0.04089816045574457,-0.27170337032578984,raw,overall,True,2.051796350826064,5.480007028865693,1.4570857858369586,2.6471748965365225,-0.38607345390366093,0.22216357137590376,-1.910284229435739,-0.04855012566878219,
ols,raw,249,5.607956691266473,3.833460301137228,-1.4616511147098814,-1.4404925553991221,-1.9816390554453442,raw,overall,True,3.689423796181275,7.137158749928846,2.3915041975734037,5.261608690391634,-6.506146934841195,-0.2027999792443119,-12.99600078130542,-0.37061655551800926,
ols,raw,249,5.607956691266473,3.8334603011372295,-1.970413715396937,-1.4404925553991226,-1.9816390554453451,crop_centered,overall,False,3.6894237961812757,7.137158749928845,2.3915041975734033,5.261608690391637,-6.5061469348412,-0.20279997924431364,-12.99600078130542,-0.3706165555180091,
dummy_mean,hybrid,27,0.24979568299561464,0.20738124452471904,-0.0007495349453452427,0.9590334236530907,-0.015030707491979323,crop_centered,per_crop,False,,,,,,,,,beans
dummy_mean,hybrid,28,0.19378334182312898,0.14683206316441444,-0.0037050082321161693,0.9822209000547433,-0.046830278389547786,crop_centered,per_crop,False,,,,,,,,,groundnuts
dummy_mean,hybrid,16,2.3952429335009744,1.9887443137786835,-0.0005617586310753264,0.496918563293096,0.03727583737466866,crop_centered,per_crop,False,,,,,,,,,irish_potatoes
dummy_mean,hybrid,28,1.3965708148793272,1.0444223671677197,-0.005370129603754048,0.043900993578897984,-0.05404854357815081,crop_centered,per_crop,False,,,,,,,,,maize
dummy_mean,hybrid,27,0.4102651238549711,0.2914695795643267,-0.0023500800832430002,0.9221431614068484,0.040094133488413064,crop_centered,per_crop,False,,,,,,,,,millet
dummy_mean,hybrid,24,0.7657534518333718,0.5355502747719179,-1.24220060546687e-05,0.1850191435220211,-0.031777631418625996,crop_centered,per_crop,False,,,,,,,,,rice
dummy_mean,hybrid,20,0.23411528544210347,0.15546603817072613,-0.0011135437403761994,0.9789860332870195,-0.0295376326886585,crop_centered,per_crop,False,,,,,,,,,simsim
dummy_mean,hybrid,28,1.0490566434882884,0.8709098413003977,-6.702697878901986e-05,0.2512880185731865,-0.07058726010385219,crop_centered,per_crop,False,,,,,,,,,sorghum
dummy_mean,hybrid,25,9.004690215903395,3.429598348431308,-0.0002218004586256317,-0.09411872485989004,-0.012097413064271256,crop_centered,per_crop,False,,,,,,,,,soya_beans
dummy_mean,hybrid,26,3.970868143198239,2.930618087108699,-0.007123028522045161,0.5160802347450599,0.036352925279851345,crop_centered,per_crop,False,,,,,,,,,sweet_potatoes
dummy_mean,hybrid,27,1.206570472407598,1.1636650899464134,-23.126430349184822,0.04420402047318195,-22.68180003868665,raw,per_crop,False,,,,,,,,,beans
dummy_mean,hybrid,28,1.4260983046667515,1.399426147148443,-56.86551740113438,0.03711190695872679,-55.694681598057684,raw,per_crop,False,,,,,,,,,groundnuts
dummy_mean,hybrid,16,3.4097909411505127,2.6126738202348117,-1.3908226314746552,-0.01951744786366505,-0.9510043695933335,raw,per_crop,False,,,,,,,,,irish_potatoes
dummy_mean,hybrid,28,1.4084853658549437,0.8911648786850849,-0.15661422627796617,0.027517889645851,-0.07211004842643831,raw,per_crop,False,,,,,,,,,maize
