model,feature_space,observations,rmse,mae,r2,skill_vs_training_global_mean,skill_vs_training_crop_mean,target_scale,result_scope,registered_primary_metric,rmse_ci_lower,rmse_ci_upper,mae_ci_lower,mae_ci_upper,global_skill_ci_lower,global_skill_ci_upper,crop_skill_ci_lower,crop_skill_ci_upper,crop
dummy_mean,pca,24,0.8177875165903786,0.7030380280391361,-0.43216926079863294,0.0704977727000804,-0.1767633544503533,raw,per_crop,False,,,,,,,,,rice
dummy_mean,pca,20,1.5784333159123307,1.5522337842235332,-46.69874026282716,0.04478534175069293,-45.798848184908636,raw,per_crop,False,,,,,,,,,simsim
dummy_mean,pca,28,1.1985324710773533,1.078034060196439,-0.4746810524117382,0.02272561581169097,-0.3974098602562737,raw,per_crop,False,,,,,,,,,sorghum
dummy_mean,pca,25,8.623580363479146,2.981308314158493,-0.014914973191988423,-0.003464764494683248,0.07176061503172548,raw,per_crop,False,,,,,,,,,soya_beans
dummy_mean,pca,26,5.7355017601136975,4.1656662109448455,-1.0920352968907454,-0.009590518726616981,-1.0104344147289823,raw,per_crop,False,,,,,,,,,sweet_potatoes
dummy_mean,raw,27,0.24979568299561464,0.20738124452471904,-0.0007495349453452427,0.9590334236530907,-0.015030707491979323,crop_centered,per_crop,False,,,,,,,,,beans
dummy_mean,raw,28,0.19378334182312898,0.14683206316441444,-0.0037050082321161693,0.9822209000547433,-0.046830278389547786,crop_centered,per_crop,False,,,,,,,,,groundnuts
dummy_mean,raw,16,2.3952429335009744,1.9887443137786835,-0.0005617586310753264,0.496918563293096,0.03727583737466866,crop_centered,per_crop,False,,,,,,,,,irish_potatoes
dummy_mean,raw,28,1.3965708148793272,1.0444223671677197,-0.005370129603754048,0.043900993578897984,-0.05404854357815081,crop_centered,per_crop,False,,,,,,,,,maize
dummy_mean,raw,27,0.4102651238549711,0.2914695795643267,-0.0023500800832430002,0.9221431614068484,0.040094133488413064,crop_centered,per_crop,False,,,,,,,,,millet
dummy_mean,raw,24,0.7657534518333718,0.5355502747719179,-1.24220060546687e-05,0.1850191435220211,-0.031777631418625996,crop_centered,per_crop,False,,,,,,,,,rice
dummy_mean,raw,20,0.23411528544210347,0.15546603817072613,-0.0011135437403761994,0.9789860332870195,-0.0295376326886585,crop_centered,per_crop,False,,,,,,,,,simsim
dummy_mean,raw,28,1.0490566434882884,0.8709098413003977,-6.702697878901986e-05,0.2512880185731865,-0.07058726010385219,crop_centered,per_crop,False,,,,,,,,,sorghum
dummy_mean,raw,25,9.004690215903395,3.429598348431308,-0.0002218004586256317,-0.09411872485989004,-0.012097413064271256,crop_centered,per_crop,False,,,,,,,,,soya_beans
dummy_mean,raw,26,3.970868143198239,2.930618087108699,-0.007123028522045161,0.5160802347450599,0.036352925279851345,crop_centered,per_crop,False,,,,,,,,,sweet_potatoes
dummy_mean,raw,27,1.206570472407598,1.1636650899464134,-23.126430349184822,0.04420402047318195,-22.68180003868665,raw,per_crop,False,,,,,,,,,beans
dummy_mean,raw,28,1.4260983046667515,1.399426147148443,-56.86551740113438,0.03711190695872679,-55.694681598057684,raw,per_crop,False,,,,,,,,,groundnuts
dummy_mean,raw,16,3.4097909411505127,2.6126738202348117,-1.3908226314746552,-0.01951744786366505,-0.9510043695933335,raw,per_crop,False,,,,,,,,,irish_potatoes
dummy_mean,raw,28,1.4084853658549437,0.8911648786850849,-0.15661422627796617,0.027517889645851,-0.07211004842643831,raw,per_crop,False,,,,,,,,,maize
dummy_mean,raw,27,1.4295162334224765,1.371209919760973,-12.354465621228302,0.05475204008419288,-10.65407019379161,raw,per_crop,False,,,,,,,,,millet
dummy_mean,raw,24,0.8177875165903786,0.7030380280391361,-0.43216926079863294,0.0704977727000804,-0.1767633544503533,raw,per_crop,False,,,,,,,,,rice
